id,hour,temperature,humidity,pressure
1,12:28,49.0,16.68,969.58
2,11:07,51.68,59.6,936.81
3,18:18,55.35,32.03,910.27
4,10:34,54.27,55.12,906.41
5,20:03,53.49,60.79,986.61
6,11:48,23.09,86.64,1010.03
7,18:21,28.32,74.38,953.53
8,22:10,5.47,31.92,929.36
9,13:29,35.25,88.42,887.89
10,17:04,19.28,24.2,939.97
11,19:00,27.97,40.25,916.39
12,18:56,29.48,98.79,882.26
13,21:57,52.38,11.06,991.06
14,19:43,51.68,5.39,939.94
15,18:37,3.51,69.61,885.05
16,18:49,45.99,34.6,904.49
17,21:10,54.52,64.8,909.36
18,14:38,9.36,43.41,954.19
19,22:15,44.15,57.55,990.62
20,13:00,42.37,7.11,970.64
21,11:37,38.4,94.44,975.94
22,14:37,40.08,78.14,917.29
23,12:22,7.02,17.89,905.48
24,22:23,26.24,41.15,962.77
25,14:35,1.02,15.05,970.34
26,12:57,11.53,30.71,980.81
27,15:05,45.98,62.71,903.99
28,21:09,19.9,87.55,930.98
29,15:05,29.51,99.91,966.81
30,22:56,30.99,4.89,870.25
31,13:41,1.78,22.0,960.37
32,16:49,18.46,32.95,969.5
33,19:58,39.95,68.31,940.14
34,10:25,6.89,13.14,882.21
35,11:09,20.17,44.2,964.82
36,13:58,31.05,19.33,1011.29
37,14:47,30.88,13.67,922.81
38,15:17,23.45,97.89,986.92
39,20:32,8.23,20.7,942.69
40,15:33,37.29,92.76,944.22
41,16:00,33.27,83.64,1010.07
42,16:41,24.9,30.38,967.8
43,20:54,13.12,91.43,884.96
44,14:26,58.48,9.92,919.41
45,13:46,57.04,15.6,880.97
46,14:24,28.4,70.03,986.18
47,19:45,59.2,39.75,997.31
48,10:43,32.71,60.51,883.19
49,22:30,7.11,38.11,940.4
50,17:12,2.95,0.36,938.87
51,17:06,35.9,15.68,986.06
52,18:15,5.76,38.26,937.51
53,19:01,51.71,78.11,875.0
54,12:42,28.71,55.49,941.73
55,18:28,36.83,56.14,899.8
56,20:37,33.45,47.67,877.55
57,11:06,40.94,10.84,896.39
58,16:37,46.44,60.53,981.07
59,18:15,29.36,36.97,985.9
60,19:12,40.51,21.56,1008.06
61,17:48,46.79,53.34,962.44
62,12:39,17.18,33.27,931.52
63,21:07,14.33,78.94,979.15
64,13:23,21.98,62.49,969.08
65,16:30,41.42,1.37,888.11
66,21:42,40.68,63.02,915.12
67,11:50,49.23,44.88,879.9
68,19:40,1.78,27.05,995.99
69,18:04,20.76,80.58,966.1
70,20:44,24.12,28.76,968.36
71,20:26,14.18,90.26,969.71
72,18:54,53.89,43.03,930.32
73,17:19,41.48,40.26,948.42
74,13:44,48.51,29.22,1010.8
75,21:39,46.92,64.93,882.52
76,12:34,23.43,6.54,901.42
77,13:28,18.46,1.83,872.19
78,11:14,55.43,77.8,900.13
79,13:56,23.09,93.0,941.84
80,10:15,7.44,76.13,917.32
81,17:21,48.07,1.78,920.5
82,19:26,7.9,36.24,1005.93
83,14:28,25.07,54.01,933.13
84,10:24,26.21,88.57,922.48
85,21:47,17.88,70.1,994.71
86,11:41,9.93,32.74,931.58
87,21:51,9.72,39.29,877.45
88,14:48,38.28,25.03,1003.64
89,17:13,40.57,34.66,915.25
90,22:58,2.01,30.33,891.65
91,17:40,8.14,86.15,883.65
92,12:31,39.95,32.51,975.13
93,21:35,25.6,15.68,908.9
94,18:35,7.58,66.66,997.55
95,16:35,55.87,5.04,936.09
96,20:41,6.46,33.43,881.69
97,13:01,53.22,64.19,880.16
98,12:01,8.7,19.9,898.73
99,21:23,6.25,56.12,948.99
100,14:34,50.46,30.77,910.63
101,12:45,47.94,47.29,921.68
102,12:08,31.88,91.99,960.79
103,10:57,41.26,7.12,920.48
104,22:24,54.62,30.99,904.95
105,14:20,30.65,69.57,903.14
106,17:20,10.03,38.44,970.74
107,14:08,42.43,92.22,940.99
